0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> s_store_name,s_company_id,s_street_number,s_street_name,s_street_type,s_suite_number,s_city,s_county,s_state,s_zip,30days,3160days,6190days,91120days,120days
,NULL,,,Pkwy,Suite V,,,NJ,09875,7888,6029,3765,3784,7780
,NULL,,Fourth ,,,Union,Lunenburg County,,28721,7678,6051,3771,3675,7722
,NULL,,Valley Valley,,Suite S,,,,71387,7943,6135,3885,3635,7832
,1,,,,Suite 310,Newtown,,TN,31749,7900,6285,3749,3804,7505
,1,,Chestnut Elm,Drive,Suite 350,Mill Creek,,,47395,7778,6196,3771,3753,7606
,1,,Fourth Main,Circle,Suite 180,Hopewell,Perry County,,60587,7710,6326,3802,3806,7686
able,NULL,941,,Avenue,Suite 210,,Henry County,,,7808,6024,3835,3804,7607
able,1,113,South ,Parkway,Suite 200,Pine Hill,Contra Costa County,CA,99236,7872,6172,3764,3812,7659
able,1,115,Hickory ,Circle,Suite N,Clifton,Mobile County,AL,38014,7595,6148,3830,3814,7623
able,1,128,15th ,RD,Suite T,Winchester,Nuckolls County,NE,63252,7770,6067,3836,3769,7664
able,1,128,Church East,ST,Suite U,Oak Hill,Contra Costa County,CA,97838,7759,6114,3701,3815,7793
able,1,140,6th ,Avenue,Suite 120,Buffalo,Quay County,NM,87098,7855,6056,3924,3826,7728
able,1,148,River 2nd,Road,Suite 10,Pine Hill,Lea County,NM,89236,7673,6134,3849,3782,7449
able,1,17,Main ,Ct.,Suite K,Woodland,Baltimore County,MD,24854,7756,6197,3708,3835,7711
able,1,170,Mill ,Circle,Suite J,Cross Roads,Klamath County,OR,96894,7875,6340,3790,3769,7560
able,1,184,Main Elm,Ct.,Suite 90,Clinton,Richland County,OH,48222,7722,6138,3722,3828,7732
able,1,193,5th ,Ave,Suite 420,Winchester,Quay County,NM,83252,7756,6243,3800,3728,7658
able,1,194,Williams 6th,Way,Suite D,Needmore,Essex County,VT,09720,7913,6281,3954,3697,7591
able,1,197,Central Second,Cir.,Suite H,Farmington,Barrow County,GA,39145,7686,6109,3640,3830,7611
able,1,20,Main ,Boulevard,Suite 140,Highland Park,Dauphin County,PA,16534,7889,5968,3881,3834,7547
able,1,206,Main ,Pkwy,Suite I,Antioch,Salem County,NJ,09205,7874,5957,3934,3853,7459
able,1,227,8th ,Road,Suite 290,Hollywood,Salem County,NJ,08601,7664,6212,3994,3754,7704
able,1,228,Cherry ,Avenue,Suite G,Mill Creek,Camden County,GA,37395,7790,5951,3685,3769,7594
able,1,244,Maple Lakeview,Way,Suite 430,Smyrna,Carter County,OK,78119,7819,6075,3782,3719,7596
able,1,253,Pine Central,ST,Suite O,Needmore,Lunenburg County,VA,29120,7879,6031,3824,3685,7479
able,1,255,Sycamore ,Dr.,Suite 410,Corinth,Quay County,NM,87022,7801,6262,3757,3921,7605
able,1,259,11th Railroad,Street,Suite 160,Highland,Red River Parish,LA,79454,7617,6166,3870,3844,7784
able,1,292,Walnut North,Circle,Suite Q,Lebanon,Abbeville County,SC,22898,7854,6014,3807,3848,7697
able,1,293,7th Hill,Ave,Suite W,Unionville,Van Buren County,MI,41711,7665,6114,3821,3846,7557
able,1,300,Forest ,Lane,Suite 230,Springdale,Cocke County,TN,38883,7663,6111,3791,3776,7474
able,1,302,Walnut Madison,Wy,Suite T,Hillsdale,Sumner County,TN,33054,7905,6361,3781,3773,7538
able,1,31,1st ,RD,Suite 270,White Oak,Daviess County,MO,66668,7841,6203,3707,3842,7557
able,1,322,View ,Avenue,Suite 20,Deerfield,Coal County,OK,79840,7885,6080,3908,3842,7777
able,1,325,Walnut ,Circle,Suite D,Plainview,Jackson County,NC,23683,7862,6203,3864,3741,7618
able,1,329,Laurel West,Lane,Suite N,Milltown,Nuckolls County,NE,67534,7858,6087,3808,3943,7665
able,1,340,15th ,Drive,Suite Q,Bridgeport,Marshall County,IN,45817,7862,6176,3801,3847,7521
able,1,372,Valley Center,Lane,Suite Q,Monroe,Harmon County,OK,73984,7748,6232,3825,3786,7608
able,1,394,Main ,Road,Suite 160,Cedar Grove,Saginaw County,MI,40411,7754,5957,3876,3875,7595
