0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> c_last_name,c_first_name,ca_city,bought_city,ss_ticket_number,amt,profit
,,,Aberdeen,202368758,0.0,-5044.829902648926
,,,Allison,867338485,1414.97998046875,-11256.950256347656
,,,Amherst,1997437976,2939.0900268554688,-1561.4899291992188
,,,Antioch,120119225,0.0,-4019.130081176758
,,,Antioch,403457933,1115.0400085449219,-2361.0998764038086
,,,Antioch,422413363,5627.660125732422,-15385.87018251419
,,,Antioch,613627137,4044.33992767334,-12277.549942016602
,,,Antioch,668131352,83.4499979019165,-13395.269698143005
,,,Antioch,1327024047,408.0199890136719,-17413.40989303589
,,,Antioch,1721568970,1703.47998046875,-1397.5300731658936
,,,Argyle,761003099,387.87001037597656,647.2401578426361
,,,Arlington,44672261,1887.069969177246,-5702.930103302002
,,,Arlington,321453046,5456.7099609375,-9339.810033261776
,,,Arlington,328784991,243.61000061035156,-8887.950179576874
,,,Arlington,651488139,0.0,1672.7799649238586
,,,Arlington,770775165,0.0,-4348.9899253845215
,,,Arlington,939997050,2009.1599578857422,-10145.319885253906
,,,Arlington,1293138669,1015.239990234375,-10687.36003112793
,,,Arlington,1392168052,506.6199851036072,-5446.049800872803
,,,Arlington,1667563601,1363.0099983215332,-11766.150146484375
,,,Arlington,1695161205,4360.6900997161865,-5792.470101356506
,,,Ashland,238064307,0.0,-9990.23014831543
,,,Ashland,280624279,146.48999786376953,-12263.349937438965
,,,Ashland,384077922,1892.6700134277344,-9065.91983795166
,,,Ashland,453522811,2788.989990234375,-289.5000457763672
,,,Ashland,646023257,268.90000915527344,-15905.40007019043
,,,Ashland,725646962,1636.6499938964844,-620.3699743747711
,,,Ashland,816975913,133.8700008392334,-1630.0400381088257
,,,Ashland,1101175885,1208.4400024414062,-12628.829856872559
,,,Ashland,1146291939,6480.440185546875,-6914.810150146484
,,,Ashland,1215858550,4064.6701049804688,-17256.549926757812
,,,Ashland,1786446918,96.20999908447266,949.1099538803101
,,,Ashley,2016524002,4021.8100175857544,-5191.299938201904
,,,Bay View,1955284467,3767.2698974609375,-7341.110153198242
,,,Bayside,1626451672,5370.6297607421875,-13048.399767875671
,,,Bayview,1491809089,3612.909912109375,2279.630126953125
,,,Belleville,846331678,0.0,-1588.6700477600098
,,,Belmont,89901982,2120.260038137436,-7896.030292510986
,,,Belmont,181507555,480.92000579833984,-15727.83977508545
,,,Belmont,229791265,3102.3399410247803,-1880.1100234985352
,,,Belmont,472979041,4079.270140647888,-3027.599974632263
,,,Belmont,571503164,1731.0400009155273,-13848.119987487793
,,,Belmont,697970660,3933.0099716186523,-1057.2601928710938
,,,Belmont,1272625223,2008.1199941635132,-11675.95007276535
,,,Belmont,1346503897,117.77000331878662,-9284.699897766113
,,,Belmont,1355890636,1030.4899735450745,-9146.119888305664
,,,Belmont,1471118737,931.979987859726,-5987.869941711426
,,,Belmont,1599010560,6451.359981536865,-14026.180118560791
,,,Belmont,1642389453,0.0,-2500.3000395298004
,,,Bennett,624950347,10266.590076446533,-12561.00006866455
,,,Bethel,197324101,4727.760009765625,-4791.999908447266
,,,Bethel,203821154,188.90000247955322,-464.6201009750366
,,,Bethel,514323194,5684.60986328125,-5705.699920654297
,,,Bethel,909636365,4805.169885635376,-13472.7297706604
,,,Bethel,1283212813,3837.080078125,-22657.650115966797
,,,Bethel,1461372273,3113.1900634765625,-7080.820076942444
,,,Bethel,1659980719,569.3800048828125,-11025.730224609375
,,,Bethel,1700052752,1201.1799793243408,-23552.400314331055
,,,Bethel,1783553536,489.44998931884766,-7071.550403594971
,,,Birmingham,461087626,962.2399864196777,-9196.870040893555
,,,Blair,938729642,5753.499984741211,-22593.61998462677
,,,Bloomingdale,1373463352,4338.9700746536255,-8674.409956932068
,,,Bloomingdale,1830098840,1289.989974975586,-22601.450241088867
,,,Brentwood,1157903207,1319.7100219726562,-3375.030224084854
,,,Bridgeport,123502110,398.02000427246094,-4332.530076980591
,,,Bridgeport,616322354,5754.439908981323,-13203.660499572754
,,,Bridgeport,650047661,305.10000133514404,-13622.430099010468
,,,Bridgeport,759723043,5175.070068359375,-7484.4299038648605
,,,Bridgeport,845116845,3334.2800674438477,-15428.04005599022
,,,Bridgeport,1132686957,1051.1500091552734,-2708.470048189163
,,,Bridgeport,1315143938,921.0999755859375,-10221.420070171356
,,,Bridgeport,1671087643,3390.4599609375,-8935.930238366127
,,,Bridgeport,1688211593,3245.77001953125,26.359935760498047
,,,Bridgeport,1724705284,1812.9499702453613,-11773.200271606445
,,,Bridgeport,1842428290,6811.480079650879,-17722.16986846924
,,,Brookville,255399620,4704.449951171875,-17644.339752197266
,,,Brownsville,104954660,3383.7999877929688,-19371.08979034424
,,,Brownsville,162202385,197.1300048828125,-15366.01992225647
,,,Brownsville,662626472,1263.490005493164,-12097.410232543945
,,,Brownsville,703245771,109.51000213623047,-7850.420028686523
,,,Brownsville,808801167,4477.379997253418,-15087.359985351562
,,,Brownsville,989813436,0.0,-5815.04998922348
,,,Brownsville,1168762351,274.5899963378906,-7655.899932861328
,,,Brownsville,1533696631,950.3099975585938,-8727.12995147705
,,,Brownsville,1553959583,1824.8599643707275,-7841.239837646484
,,,Brownsville,1575361223,49.52000045776367,-6166.710091590881
,,,Brownsville,1815324732,1416.4699993133545,-16228.839859962463
,,,Brownsville,2029179096,5920.890106201172,-11186.230028152466
,,,Brownsville,2043588086,3039.3300399780273,-10056.460105895996
,,,Brunswick,891915467,5887.099987030029,-6243.569746017456
,,,Buckingham,377404865,542.059995174408,-520.8701639175415
,,,Buena Vista,28038059,21.559999465942383,-7282.709808349609
,,,Buena Vista,138102312,1739.300048828125,2331.809928894043
,,,Buena Vista,187032946,7553.929901123047,-13788.9599609375
,,,Buena Vista,268545978,62.150001525878906,-7854.919862270355
,,,Buena Vista,1133593124,6616.56005859375,-11101.889892578125
,,,Buena Vista,1476580881,965.3199768066406,-12820.09990978241
,,,Buena Vista,2018472018,320.3500123023987,-3822.1299018859863
,,,Bunker Hill,429737348,294.10000228881836,-10132.529584884644
,,,Bunker Hill,436981020,1703.8799896240234,-6560.180061340332
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
