0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> c_last_name,c_first_name,c_salutation,c_preferred_cust_flag,ss_ticket_number,cnt
,,,,882155545,5
Fulton,Mark,Mr.,N,2102201351,5
Gillespie,Thomas,Mr.,N,1615291644,5
Rushing,Billy,Dr.,Y,1645552985,5
Donato,Tajuana,Mrs.,N,1500317854,5
Powell,Amber,Dr.,Y,10554594,5
Joyce,Ray,Dr.,N,938423768,5
,,,,288233062,5
Abraham,Margaret,Dr.,Y,749771533,5
Williams,Howard,Mr.,Y,962946621,5
Kendrick,Kyong,Mrs.,Y,2109481704,5
Moore,Steven,Mr.,Y,456418791,5
Valencia,Theresa,Ms.,N,1930876907,5
,,,,21911901,5
,,Dr.,Y,42428619,5
Stewart,Paz,Dr.,N,1263115380,5
Shumate,Imogene,Ms.,N,1338172495,5
Walsh,Benjamin,Dr.,Y,1746778714,5
Hatcher,Mammie,Mrs.,N,1762012545,5
,Enrique,Sir,,2058398955,5
Eagle,Vincent,Dr.,N,1290754814,5
Baum,Craig,Mr.,Y,921247710,5
Sanford,Joel,Dr.,Y,1573703799,5
Benitez,Ted,Dr.,Y,412870915,5
Turner,Lee,Dr.,N,555808373,5
Waite,Pamela,Mrs.,Y,768604865,5
Miller,Stephen,Mr.,Y,703714203,5
Givens,Luther,Mr.,N,827399055,5
Young,Donna,Ms.,N,532882387,5
Vargas,John,Mr.,N,1808916945,5
Martin,Amy,Ms.,Y,1636221066,5
Wright,Martin,Mr.,N,1477851196,5
Mcgee,Charles,Sir,N,622293130,5
Brown,Angela,Miss,N,1586659171,5
Sandoval,Blaine,Dr.,N,151910815,5
Oliveira,Ann,Mrs.,Y,1288371165,5
Hundley,,,,1439330964,5
Harper,Teresa,Ms.,Y,3514917,5
Williams,Bertha,Dr.,N,745026799,5
Horton,John,Sir,Y,1189864140,5
Fleming,April,Ms.,Y,1908765402,5
Howell,Stephenie,Dr.,N,34331405,5
Gibson,Susan,Dr.,Y,1755530969,5
Zamora,Stewart,Sir,N,529771412,5
Draper,Linda,Miss,Y,724325228,5
Guerra,Cora,Mrs.,Y,1778942878,5
Mathews,Steven,Sir,Y,970936842,5
Long,Emilia,Miss,Y,1534168582,5
Hull,Michael,Mr.,N,1956544115,5
Speight,Wanda,Ms.,Y,376996952,5
Quinn,Ruby,Miss,N,813299620,5
Peterson,Traci,Dr.,N,1340827864,5
Mathews,Joshua,Dr.,N,1626554984,5
Jones,Keith,Sir,Y,2111256969,5
Burns,Leroy,Dr.,Y,1872439806,5
Martin,Rebecca,Dr.,N,1907423822,5
Gardner,Thomas,Sir,Y,1880760894,5
Lightner,Mark,Dr.,N,553488895,5
Doughty,Victor,Mr.,Y,570750791,5
Mace,Gladys,Ms.,Y,1987484340,5
Perez,Rodrigo,Dr.,N,549174431,5
Ambrose,Lamar,Mr.,N,292504005,5
Walker,Belinda,Mrs.,N,253764963,5
Montgomery,Ashley,Miss,Y,974401344,5
Beal,John,Sir,Y,1472404709,5
Lucas,Gwendolyn,Ms.,Y,1957655223,5
Miller,Louis,Sir,N,899242649,5
,Kenny,Sir,Y,2060208083,5
Rickard,Denise,Miss,N,712363708,5
Marcum,Jorge,Sir,Y,1022265606,5
Ray,Rebecca,Mrs.,Y,1115410062,5
Cunningham,Eric,Sir,Y,944909564,5
Echols,Dion,Sir,Y,1268528599,5
Lofton,Jennifer,Ms.,Y,2065944368,5
Edwards,David,Sir,N,1521089255,5
Cates,Edward,Sir,Y,475926010,5
Jones,Richard,Mr.,N,1663242085,5
Gibson,Raymond,Sir,N,1254222857,5
Turner,Monica,Miss,Y,793587490,5
Franklin,Kathryn,Ms.,Y,1938930049,5
Cummings,Roosevelt,Sir,Y,2060430205,5
Maier,Ronald,Sir,N,581667119,5
Rodriguez,Claude,Sir,Y,1749531815,5
Cooper,Max,Mr.,Y,317843345,5
Hogan,Geraldine,Ms.,Y,279545303,5
Waters,Diane,Miss,N,1960633984,5
Outlaw,Lawrence,Mr.,N,736027759,5
Macias,Denise,Ms.,N,450216440,5
Francisco,Kay,Mrs.,N,567904468,5
,Richard,Sir,Y,1951482538,5
Davis,Naomi,Mrs.,Y,1424167395,5
Howell,William,Sir,Y,1861310436,5
,Patrick,,,1874770708,5
Sanchez,Diane,Miss,N,435735365,5
Ward,Catherine,Dr.,Y,1510353775,5
Davis,Darius,Mr.,N,886785063,5
Young,Nancy,Mrs.,Y,494082307,5
Schultz,Riley,Dr.,Y,645061368,5
Jones,Martin,Dr.,Y,844593770,5
Perez,Robert,Sir,N,1255521596,5
Conners,Aaron,Miss,Y,859047103,5
Carpenter,Benny,Dr.,Y,908646917,5
Kim,Marlene,Mrs.,N,432323096,5
Doyle,Daniel,Mr.,Y,505787720,5
Davis,Edward,Mr.,Y,222315579,5
Mccormick,Robert,Dr.,N,1502666897,5
Cruz,Steven,Dr.,Y,1543779494,5
Herron,Mack,Dr.,N,1145345787,5
,Bill,Dr.,Y,1835445249,5
Mitchell,John,Mr.,Y,627866104,5
Shoemaker,Angela,Mrs.,N,1601239358,5
Earl,Tom,Dr.,Y,626511636,5
Roberts,,,,629386015,5
Shelby,Barbara,Miss,Y,1631932019,5
Peters,Becky,Ms.,Y,439588625,5
Thomsen,Gerald,Sir,Y,930328792,5
Laws,Alfredo,Dr.,N,803600612,5
Cunningham,Ann,Mrs.,N,152866413,5
Brinson,Heidi,Ms.,Y,1443780350,5
Bryan,Evan,Dr.,Y,1723483282,5
Brock,Brandon,Dr.,N,547806140,5
Obrien,Edmond,Sir,Y,1948209708,5
Flynn,Elmer,Sir,N,561939613,5
Butler,Rose,Miss,N,1231495085,5
Grant,Melissa,Mrs.,N,1320774626,5
Taylor,Wayne,Dr.,N,1241498050,5
Edwards,Lee,Mr.,N,1960312152,5
Hunt,Esther,Ms.,N,883202139,5
Neal,Candice,Miss,N,2142994832,5
Soto,Wendy,Miss,Y,1558503350,5
Martin,Janette,Miss,Y,1198382411,5
