0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> c_last_name,c_first_name,sub,ss_ticket_number,amt,profit
,,,1291687774,NULL,NULL
,,,2075183757,NULL,NULL
,,,1030518620,NULL,NULL
,,,954940475,0.0,NULL
,,,802642098,NULL,NULL
,,,1608529444,NULL,NULL
,,,644686803,421.1300048828125,NULL
,,,807561974,0.0,NULL
,,,1769554764,435.6000061035156,NULL
,,,80589253,NULL,NULL
,,,1908732862,NULL,NULL
,,,971097313,61.880001068115234,NULL
,,,670831194,NULL,NULL
,,,830823634,NULL,NULL
,,,1755147411,0.0,NULL
,,,1122159156,1516.93994140625,NULL
,,,1009267605,0.0,NULL
,,,1381779132,NULL,NULL
,,,969402274,294.1400146484375,NULL
,,,1597165369,748.0499877929688,NULL
,,,1902805641,0.0,NULL
,,,849043621,0.0,NULL
,,,1189721750,NULL,NULL
,,,1987331773,NULL,NULL
,,,1020567889,NULL,NULL
,,,452763225,0.0,NULL
,,,954417056,1443.77001953125,NULL
,,,618186399,NULL,NULL
,,,1366330375,NULL,NULL
,,,993524656,1328.3199462890625,NULL
,,,625716107,NULL,NULL
,,,1198200987,NULL,NULL
,,,54964735,NULL,NULL
,,,1490793113,NULL,NULL
,,,1900126640,0.0,NULL
,,,1208723625,0.0,NULL
,,,257841580,0.0,NULL
,,,1950902754,0.0,NULL
,,,1282474093,NULL,NULL
,,,451395182,0.0,NULL
,,,81090771,0.0,NULL
,,,807965743,0.0,NULL
,,,884499302,NULL,NULL
,,,21722942,NULL,NULL
,,,1075328552,NULL,NULL
,,,1599063991,0.0,NULL
,,,2142923492,NULL,NULL
,,,1363788465,NULL,NULL
,,,872644552,NULL,NULL
,,,1967860596,NULL,NULL
,,,1593584781,0.0,NULL
,,,1244389445,NULL,NULL
,,,2119700880,NULL,NULL
,,,269996302,NULL,NULL
,,,1769694425,NULL,NULL
,,,532146406,NULL,NULL
,,,180382179,NULL,NULL
,,,1049923954,NULL,NULL
,,,NULL,5950122.2734375,-677025.0211181641
,,,362659924,216.5800018310547,-35781.99083709717
,,,1593584781,16523.79034423828,-33354.639808654785
,,,1251648855,430.8399963378906,-31483.260204315186
,,,1304355172,1620.1899554729462,-30635.569598197937
,,,236865854,9471.390232086182,-30582.85011291504
,,,255452061,1445.0099487304688,-30349.42985725403
,,,338154435,1541.169979095459,-29678.239565849304
,,,153182174,1880.0099544525146,-29290.26006937027
,,,1686587034,7630.810247898102,-29156.55010986328
,,,983031739,4733.869918823242,-28826.010031700134
